day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-10-09,0.11093101627677641,0.2640359669336115,0.0807988609598427,1.401761270830542,4.0
2025-10-10,0.04645345765447303,1.0073264869276806,-0.3012539944129235,1.0709557342420948,6.0
2025-10-11,0.5064045207910318,0.3476265121989524,0.16240740740740459,0.7610049263588129,3.0
2025-10-12,0.06705683517372749,0.745805643765433,-0.136003587880998,0.9509745798907968,5.0
2025-10-13,-0.04405962328037522,0.7428257794314224,0.06746146038343893,0.7654699637543416,13.0
2025-10-14,0.17493881461397232,0.6406159850949383,0.1199899334363102,0.7511052877710435,9.0
2025-10-15,-0.18020409385523276,0.9825617807846837,-0.019516558837169518,0.7988822062633331,13.0
2025-10-16,-0.15064100692471277,0.7437325887989639,0.34988183062379763,0.5982246703295965,16.0
2025-10-17,0.028292352242590982,0.7302612934950424,0.41389141425331555,0.7350863084385304,15.0
2025-10-18,-0.10121012867283298,0.7973384130369359,0.7307440076112564,0.6231571783034214,7.0
2025-10-19,0.377464304075863,0.7405427119287276,0.34029464821721495,0.81036363263833,11.0
2025-10-20,0.49669606088403917,0.6381450610006733,0.23914255175974872,0.7437870416673337,15.0
2025-10-21,0.19770984381784998,0.9068657532063075,0.058299020903677654,0.8159231950214302,10.0
2025-10-22,0.30768278576849,0.927681477487801,0.08721646552498043,0.9388434783793966,8.0
2025-10-23,-0.3011753829427437,0.5681477800075845,0.5241114658547965,0.5503305348667271,15.0
2025-10-24,0.029245316424070446,0.7973201856145942,-0.31727100836909405,1.0286172813162615,10.0
2025-10-25,-0.14979994199985594,0.8113367937198198,-0.09936156794698976,0.8001749331603853,7.0
2025-10-26,-0.6440108864031772,0.5320549656876147,-0.13226592792195116,0.6304085369119394,6.0
2025-10-27,0.21798305586913969,0.9870423464940226,0.39244170028542275,0.848586613480706,8.0
2025-10-28,-0.046700170163999716,0.7891504993756742,0.0665627982161038,0.665050012998671,16.0
2025-10-29,-0.015839914639664467,0.7560921041815039,0.19353185914909218,0.640808444569515,17.0
2025-10-30,0.03824880581292723,0.8216219123665452,0.08102717862991955,0.9471843061905482,10.0
2025-10-31,-0.0753778467611401,0.7336705135811393,-0.10873627858754105,0.8884519270583076,14.0
2025-11-01,0.32505835467676253,0.8665518791908263,0.17890131096836262,0.5934506483688935,12.0
2025-11-02,0.2199943160417733,0.911928017278479,-0.19865952177233157,0.8008140591474219,13.0
2025-11-03,0.1361565309099071,0.6839192568748221,0.04598111779828008,0.8688146747759521,26.0
2025-11-04,-0.3136095943451407,0.7519026953092368,-0.013843773417925012,0.7851508769864824,15.0
2025-11-05,0.17782007115566045,0.8380011529789322,0.4422249709748203,0.7416812342242134,24.0
2025-11-06,-0.009047898146440712,0.6001356803733876,0.31468324126795616,0.7410381404627427,18.0
2025-11-07,0.11024836919443651,0.786945499403145,0.2048232533808742,1.003327974114492,20.0
2025-11-08,0.08401403928212066,0.51840602651634,-0.16343320851271204,0.7071055266085559,10.0
2025-11-09,-0.009023886528793556,0.877447085666371,0.012898278569802472,0.7308376375834578,17.0
2025-11-10,0.015655306628524317,0.6714271037125764,0.07665360743750346,0.6385798009125294,27.0
2025-11-11,-0.42447573527709437,0.6569895283901186,-0.3042795339054192,0.9635882920160198,7.0
2025-11-12,-0.2838912923228194,0.882235372305771,-0.4060855114739891,0.5675062413066391,5.0
